id,shapeName,year,op,inv,pop,ent,tc,ntl
56,Bajos de Haina,1,0.0,0.0,136656.5313,0,0.0,10.57635429
57,Castillo,1,0.0,0.0,14884.10742,0,0.0,0.17716387
58,Cevicos,1,0.0,0.0,15343.93066,0,0.0,0.056016698
59,Cristóbal,1,0.0,0.0,7003.396484,0,0.0,0.092461264
60,Hondo Valle,1,0.0,0.0,11018.28125,0,0.0,0.082675934
61,Imbert,1,0.0,0.0,21472.31641,0,0.0,0.415344061
62,La Ciénaga,1,0.0,0.0,9245.977539,0,0.0,0.068679071
63,Los Ríos,1,0.0,0.0,7770.692383,0,0.0,0.119435808
64,Padre Las Casas,1,0.0,0.0,19857.58594,0,0.0,0.055308017
65,Paraíso,1,0.0,0.0,15457.64648,0,0.0,0.060473983
66,Pedro Brand,1,0.0,0.0,87438.77344,0,0.0,1.481000771
67,Peralta,1,0.0,0.0,16461.33984,0,0.0,0.082572092
68,Postrer Río,1,0.0,0.0,6576.394531,0,0.0,0.06874417
69,Pueblo Viejo,1,0.0,0.0,12200.69336,0,0.0,0.920130956
70,Sabana Grande de Palenque,1,0.0,0.0,18474.79883,0,0.0,2.155647045
71,San Juan,1,0.0,0.0,132467.4844,0,0.0,0.3650949
72,San Pedro De Macorís,1,4773.77,158722259.2,215696.0469,46,10260.74,6.021199327
73,San Rafael Del Yuma,1,0.0,0.0,29662.53711,0,0.0,0.125604269
74,Santo Domingo De Guzmán,1,0.0,0.0,1036194.625,0,0.0,39.0243126
75,Villa Altagracia,1,3041.68,5407289.4,85345.45313,4,5007.53,0.341702552
76,Azua,1,0.0,0.0,96869.88281,0,0.0,0.814999009
77,Sabana Larga,1,0.0,0.0,8043.963867,0,0.0,0.206507175
78,Sánchez,1,0.0,0.0,23737.03906,0,0.0,0.187178409
79,San José De Las Matas,1,0.0,0.0,39311.96875,0,0.0,0.075137868
80,Luperón,1,0.0,0.0,16578.49414,0,0.0,0.12420943
81,Comendador,1,0.0,0.0,32616.91406,0,0.0,0.262087931
82,Los Llanos,1,0.0,0.0,24423.51563,0,0.0,0.194486687
83,Piedra Blanca,1,0.0,0.0,23636.9082,0,0.0,0.213019265
84,Guayubín,1,0.0,0.0,51572.78516,0,0.0,0.127635538
85,Santo Domingo Este,1,4361.59,282131857.4,988840.4375,38,9592.03,22.30706518
86,Santo Domingo Norte,1,2120.0,15926641.2,616479.875,6,3377.4,3.564625098
87,Santo Domingo Oeste,1,7000.0,1668955.5,399102.25,2,477.0,22.03662347
88,Villa Vásquez,1,0.0,0.0,15216.43652,0,0.0,0.219161356
89,Estebanía,1,0.0,0.0,5768.328125,0,0.0,0.128135797
90,Higüey,1,0.0,0.0,325801.1875,0,0.0,0.841032812
91,Río San Juan,1,0.0,0.0,14932.35254,0,0.0,0.108822058
92,Bisonó,1,2200.0,2974785.0,41567.64453,5,3715.25,2.742014298
93,Villa Los Almácigos,1,0.0,0.0,10383.92383,0,0.0,0.054747302
94,Peralvillo,1,0.0,0.0,21565.48242,0,0.0,0.093580906
95,Mao,1,0.0,0.0,87566.71875,0,0.0,0.738160718
96,Tamayo,1,0.0,0.0,35057.73828,0,0.0,0.20272485
97,Villa Riva,1,0.0,0.0,43757.19531,0,0.0,0.161545433
98,Esperanza,1,2251.63,22563480.0,68504.08594,6,4885.71,0.751694418
99,Guayacanes,1,0.0,0.0,17708.04102,0,0.0,1.491432004
100,Barahona,1,5366.6,20678000.0,80170.28125,2,13700.0,2.222809537
101,Bonao,1,10917.0,215917893.0,128646.2344,5,17293.67,0.463631257
102,Pepillo Salcedo,1,0.0,0.0,9227.265625,0,0.0,0.262344717
103,La Vega,1,1942.0,44213754.4,263001.6563,16,4189.4,1.288414146
104,San José De Ocoa,1,0.0,0.0,41644.67188,0,0.0,0.144445014
105,Rancho Arriba,1,0.0,0.0,9503.630859,0,0.0,0.032821782
106,Juan De Herrera,1,0.0,0.0,17698.94141,0,0.0,0.53841749
107,San Ignacio De Sabaneta,1,0.0,0.0,34637.21875,0,0.0,0.121435284
108,Villa González,1,5319.04,100467255.4,41356.51172,32,8404.13,2.06736935
109,Vallejuelo,1,0.0,0.0,13127.96289,0,0.0,0.159190964
110,Villa Isabela,1,0.0,0.0,17597.44336,0,0.0,0.089559254
111,Villa Tapia,1,0.0,0.0,24480.67578,0,0.0,0.713747253
112,Yaguate,1,0.0,0.0,41823.78906,0,0.0,1.029498595
113,Altamira,1,0.0,0.0,17116.38086,0,0.0,0.173142411
114,El Seibo,1,1707.5,500000.0,68222.1875,2,3722.5,0.116185514
115,Jánico,1,0.0,0.0,16434.18359,0,0.0,0.062027504
116,Salcedo,1,0.0,0.0,38995.80469,0,0.0,0.637885371
117,Restauración,1,0.0,0.0,9648.431641,0,0.0,0.010951007
118,San Gregorio de Nigua,1,4446.76,526542184.3,41875.0625,50,8333.7,2.381032488
119,Cayetano Germosén,1,0.0,0.0,7164.408203,0,0.0,1.056609211
120,Galván,1,0.0,0.0,17263.20508,0,0.0,0.148458267
121,Gaspar Hernández,1,0.0,0.0,43798.63281,0,0.0,0.161555897
122,Guayabal,1,0.0,0.0,6990.979004,0,0.0,0.015156145
123,Jaquimeyes,1,0.0,0.0,5684.137207,0,0.0,0.080395395
124,Laguna Salada,1,0.0,0.0,30980.58594,0,0.0,0.324737178
125,La Mata,1,0.0,0.0,37868.73047,0,0.0,0.308725634
126,Las Matas De Farfán,1,0.0,0.0,45927.1875,0,0.0,0.246530291
127,Las Terrenas,1,0.0,0.0,21672.45313,0,0.0,0.490022929
128,Loma De Cabrera,1,0.0,0.0,16771.42969,0,0.0,0.088138748
129,Nagua,1,0.0,0.0,82360.95313,0,0.0,0.185217517
130,Partido,1,0.0,0.0,6580.085938,0,0.0,0.044351281
131,Pedro Santana,1,0.0,0.0,9229.921875,0,0.0,0.008128221
